source,public_time,content,topic,sensitive_word,theme,id,up_num,retweet_num,comment_num,nickname,sex,province,following,followed,publish_place,publish_tool
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=%E7%BE%8E%E5%9B%BD%E6%80%BB%E7%BB%9F%E5%A4%A7%E9%80%89&advancedfilter=1&starttime=2020-12-03-15&endtime=2021-01-01-16&sort=time&page=1,2021-01-02 22:26,环球网:【台湾“独派”发起“挺川普大游行”，专家：饥不择食、慌不择路的表现】据台湾“联合新闻网”报道，台湾“独派”团体今天（2日）在台北发起“挺川普护台湾”游行，隔海声援仍在寻求大选翻盘的美国总统特朗普。台湾“独派”组织“台联”秘书长周倪安宣称，这次美国大选遭受到有史以来来自外力最大的影响，他说台湾人站出来支持他合情合理、有情有义。南开大学法学院副教授、台港澳法研究中心执行主任李晓兵对环球网记者表示，这是“独派”团体在穷途没路的情况下饥不择食、慌不择路的表现。报道称，周倪安还声称，希望一切依照美国建国者所制定公平合理以及有智慧的的联邦宪法制度可以解决纷争，不是争谁当选，而是如何按照联邦宪法，计算公平合理没有欺骗的选举人票，才能维护美国宪法让美国得以长久治安。“台湾国办公室”主任陈峻涵则声称，特朗普是史上最挺台湾的美国总统，如今美国总统选举结果可能还有变数，预祝他能顺利连任。针对此事，南开大学法学院副教授、台港澳法研究中心执行主任李晓兵对环球网记者表示，这是“独派”团体在穷途没路的情况下饥不择食、慌不择路的表现。特朗普是一个反传统的角色，但是“独派”力量却看到了希望，向特朗普摇尾乞怜，这也显示出“独派”的媚态。李晓兵表示，所谓的“挺川普大游行”，是“独派”力量想深度介入美国的国内政治，但美国内部已经很乱，“独派”力量此举无疑是火上浇油，是非常无知的一种表现，这些人为了实现所谓的“台独”幻想而进行政治操弄，最终会搬起石头砸自己的脚。李晓兵称，“台独”力量非常有限，特朗普不会认为他们的游行会对其有支持力，他们是想在特朗普离开白宫之前蹭流量、刷存在感，所谓的“挺川普大游行”是国际玩笑，非常不明智。在接受环球网采访时，海峡两岸青年交流协会执行长郑博宇表示，特朗普在任期间确实给过台湾当局一些“小恩小惠”，但这些实际上是“糖衣毒药”。然而民进党当局却甘为棋子，不断在岛内炒作这些小恩小惠，可台湾民众并未感觉到所谓美台关系改善的实质性好处。郑博宇说，“台联”在台湾属于极少数执迷不悟的“独派”，此次游行的规模也并不大，结合此前特朗普呼吁支持者去华盛顿集会的新闻，这次活动更像是一种“粉丝行为”。针对“独派”的这个活动，也有岛内网友讽刺，“挺川普出卖台湾”“绿川粉还在崩溃不认输”“‘台独’的‘挺川普护台湾’就是外力介入美国大选”“境外势力是指台湾吗？”在台湾，所谓的“独派”是指坚持“独立建国”的政党或团体及有影响力的个人，其中就包括“台湾团结联盟”(“台联”)。2001年8月成立的“台湾团结联盟”曾奉李登辉为精神领袖。至于“台湾国办公室”，它在脸书中简介声称是一个推动“建国运动”的团体。这次美国总统大选在美国以外地区引起了很高的关注度，若在全球列出几个对美国大选关注度最高的地方，作为中国领土不可分割一部分的台湾一定在内。而在美国选后跌宕起伏的开票过程中，岛内一些人的心情明显跟着翻转。从选前大力配合特朗普并希望其连任，到美国大选局势基本明朗后迅速向拜登表示祝贺，台当局“押错宝”带来的不仅是尴尬，还让一些人忧虑：未来美国新总统会不会搞“清算”？ [组图共2张] 原图 ,,美国总统大选,,JBmwADm2O,138,20,56,环球网,女,北京,1444,22189149,无,无
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=%E7%BE%8E%E5%9B%BD%E6%80%BB%E7%BB%9F%E5%A4%A7%E9%80%89&advancedfilter=1&starttime=2020-12-03-15&endtime=2021-01-01-16&sort=time&page=1,2021-01-02 22:13 ,FM963:#美国大选结果# 【刘和平：共和党籍众议员拒绝确认选举结果只是在逗特朗普玩？】据CNN报道，预计众议院中至少有140名共和党籍众议员将在1月6日投票反对清点选举人票，试图推翻美国总统大选结果。有不少评论都认为，这140名共和党籍众议员要么是想要颠覆美国的宪政制度制造一场巨大的宪政危机，要么就是在搞恶作剧瞎胡闹。对此，#直新闻特约评论员刘和平# 分析认为，这些众议员既不想推翻美国总统大选的结果颠覆美国的宪政制度，也不是在搞恶作剧瞎胡闹，他们只是想搞一场经过反复的政治权衡与利益算计的政治秀，其目的仅仅是为了安抚一个正在耍脾气闹情绪的老人家，也就是现任美国总统特朗普，防止他一怒之下做出全面分裂共和党的出格的事情来。 http://t.cn/A6qnmFP9 ,直新闻特约评论员刘和平,美国总统大选,直新闻特约评论员刘和平,JBmrl1I5g,0,0,0,FM963,男,吉林,1014,32821,无,HUAWEI P30 Pro
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=%E7%BE%8E%E5%9B%BD%E6%80%BB%E7%BB%9F%E5%A4%A7%E9%80%89&advancedfilter=1&starttime=2020-12-03-15&endtime=2021-01-01-16&sort=time&page=1,2021-01-02 21:21 ,直新闻:#美国大选结果# 【刘和平：共和党籍众议员拒绝确认选举结果只是在逗特朗普玩？】据CNN报道，预计众议院中至少有140名共和党籍众议员将在1月6日投票反对清点选举人票，试图推翻美国总统大选结果。有不少评论都认为，这140名共和党籍众议员要么是想要颠覆美国的宪政制度制造一场巨大的宪政危机，要么就是在搞恶作剧瞎胡闹。对此，#直新闻特约评论员刘和平# 分析认为，这些众议员既不想推翻美国总统大选的结果颠覆美国的宪政制度，也不是在搞恶作剧瞎胡闹，他们只是想搞一场经过反复的政治权衡与利益算计的政治秀，其目的仅仅是为了安抚一个正在耍脾气闹情绪的老人家，也就是现任美国总统特朗普，防止他一怒之下做出全面分裂共和党的出格的事情来。 http://t.cn/A6qnmFP9 ,直新闻特约评论员刘和平,美国总统大选,直新闻特约评论员刘和平,JBm6k9W9w,3,1,0,直新闻,男,广东,130,788488,无,微博 weibo.com
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=%E7%BE%8E%E5%9B%BD%E6%80%BB%E7%BB%9F%E5%A4%A7%E9%80%89&advancedfilter=1&starttime=2020-12-03-15&endtime=2021-01-01-16&sort=time&page=1,2021-01-02 20:54 ,环球奇谈:#军事新闻# 特朗普失算了，这场“豪赌”最后，反而重伤了美国自己#国际军情# 2020年是美国多事之秋，一场新冠病毒疫情让美国许多家庭家破人亡，很多人感染上新冠病毒无法得到及时救治，美国的医疗机构出现崩溃，医疗物资出现短缺。现如今，美国一直是疫情重灾区。很多美国民众至今对新冠病毒没得到正确的认识，仍未采取戴口罩等防护措施，也未保持社交距离。随着寒冬的到来，病毒席卷重来，欧洲各国以及美国再次出现跌破新纪录。美国的确诊人数一直居高不下，人数逐日攀升。而特朗普对美国疫情的失控负有不可推卸的责任。在今年以前，特朗普的支持率还很高，但现在由于特朗普在疫情中的不作为，导致很多民众对特朗普大失所望。虽美国总统大选已过去一个多月，特朗普却一直不肯承认自己败选，还多次在社交媒体上拒绝承认自己在大选中失败。但现在拜登入主白宫已众望所归，特朗普却一直不肯退出白宫，给拜登设置重重阻碍。时至今日，特朗普在疫情中的表现也被披露出来，在这场豪赌中，特朗普到底失算，最终受伤的还是美国以及全体美国民众。近日，有关特朗普竞选的视频被公布于众，该视频曝光特朗普在竞选中时所阐述的阴谋论，还特意指出特朗普蓄意设计新冠病毒造成的危害。在当日下午，该视频就已高达81.5万次的播放量，而且美国民众观看这段视频出现很大的争议。现在特朗普不论对拜登制造任何谣言均毫无作用，美国民众已看到他在疫情中所做的无用功。连他自己都无法否认整个疫情发现到今天如此严重的地步与特朗普脱不了干系。在疫情爆发之初，此时正是遏制疫情的关键时刻，特朗普却发表各种言论来误导美国民众，反对美国民众在公众场合戴口罩，还在疫情发展之时不顾民众生命安危复工复产。结果可想而知，如今的美国疫情仍在疯狂蔓延，连政府都对现如今的局面焦头烂额。正是特朗普的忽视，美国的疫情才会出现如今的现象。专家预计，未来的一周，美国仍会非常糟糕，将来美国疫情还是无法得到控制。这次特朗普不仅失去总统之位，还让美国陷入困境中不能自拔。 [组图共3张] 原图 ,国际军情,美国总统大选,国际军情,JBlV4unZf,1,0,13,环球奇谈,男,广东,123,270140,无,军事博主Android
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=%E7%BE%8E%E5%9B%BD%E6%80%BB%E7%BB%9F%E5%A4%A7%E9%80%89&advancedfilter=1&starttime=2020-12-03-15&endtime=2021-01-01-16&sort=time&page=1,2021-01-02 20:52 ,校园视频吧:【美国推举人团投票正式确认拜登被选美国总统】本地工夫12月14日，美国推举人团共538位推举人根据各州推举效果投下推举人票，正式选出美国总统和副总统，确认民主党人拜登博得美国大选，成为下届美国总统。——美国总统大选另有最高法院确认及宣誓就任顺序…            #迷惑行为##一分钟创意挑战#  http://t.cn/A6qnnMiW ,一分钟创意挑战,美国总统大选,一分钟创意挑战,JBlUrdAgE,1,1,2,校园视频吧,女,陕西,156,148426,无,微博视频
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=%E7%BE%8E%E5%9B%BD%E6%80%BB%E7%BB%9F%E5%A4%A7%E9%80%89&advancedfilter=1&starttime=2020-12-03-15&endtime=2021-01-01-16&sort=time&page=1,2021-01-02 20:15 ,股市动态分析周刊:【#Facebook产品主管离职# 曾负责政治广告政策】据报道，根据媒体获悉的一篇公司内部帖子显示，Facebook的广告诚信主管罗伯·莱森（Rob Leathern）已于本周离职。报道称，Leathern经常是Facebook有争议的政治广告政策的公众代言人。在11月3日美国总统大选前，Facebook曾因为允许平台上的误导性声明和阴谋论的广泛传播而备受批评。截至发稿，Facebook未予置评。http://t.cn/A6qnpnoJ ,Facebook产品主管离职,美国总统大选,Facebook产品主管离职,JBlFwBIzf,0,0,0,股市动态分析周刊,女,广东,170,38256,无,科技 · 视频社区
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=%E7%BE%8E%E5%9B%BD%E6%80%BB%E7%BB%9F%E5%A4%A7%E9%80%89&advancedfilter=1&starttime=2020-12-03-15&endtime=2021-01-01-16&sort=time&page=1,2021-01-02 18:29 ,追星的胖子:惊心动魄的来了？1月6日，美国将有大事发生！特朗普：不要错过尽管美国2020年总统大选结果已定，但特朗普至今依旧不愿承认拜登胜选。随着明年1月20日美国总统权力交接的时间越来越近，特朗普近期又准备出手了据法新社报道，为了改变此次美国大选结果，特朗普正在鼓励支持他的选民于1月6日在华盛顿特区举行最后一次集会，向美国国会施压，要求其不要确认拜登胜选。据悉，1月6日是美国国会两院举行联席会议清点选举人票的日子，也是特朗普“翻盘”的最后机会。当天美国副总统彭斯将主持国会会议，清点各州选举人团投票结果，然后宣布美国大选的获胜者。 ,,美国总统大选,,JBkYidovK,1,0,0,追星的胖子,男,福建,94,398,无,360安全浏览器
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=%E7%BE%8E%E5%9B%BD%E6%80%BB%E7%BB%9F%E5%A4%A7%E9%80%89&advancedfilter=1&starttime=2020-12-03-15&endtime=2021-01-01-16&sort=time&page=1,2021-01-02 17:15 ,BOOM视频:【#Facebook产品主管离职# 曾负责政治广告政策】据报道，根据媒体获悉的一篇公司内部帖子显示，Facebook的广告诚信主管罗伯·莱森（Rob Leathern）已于本周离职。报道称，Leathern经常是Facebook有争议的政治广告政策的公众代言人。在11月3日美国总统大选前，Facebook曾因为允许平台上的误导性声明和阴谋论的广泛传播而备受批评。截至发稿，Facebook未予置评。@知视频 http://t.cn/A6qnpnoJ #北美战局# ,北美战局,美国总统大选,北美战局,JBkuvq0Dm,1,0,0,BOOM视频,男,北京,102,1031652,无,科技 · 视频社区
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=%E7%BE%8E%E5%9B%BD%E6%80%BB%E7%BB%9F%E5%A4%A7%E9%80%89&advancedfilter=1&starttime=2020-12-03-15&endtime=2021-01-01-16&sort=time&page=1,2021-01-02 17:15 ,新浪军事:【#Facebook产品主管离职# 曾负责政治广告政策】据报道，根据媒体获悉的一篇公司内部帖子显示，Facebook的广告诚信主管罗伯·莱森（Rob Leathern）已于本周离职。报道称，Leathern经常是Facebook有争议的政治广告政策的公众代言人。在11月3日美国总统大选前，Facebook曾因为允许平台上的误导性声明和阴谋论的广泛传播而备受批评。截至发稿，Facebook未予置评。@知视频 http://t.cn/A6qnpnoJ #北美战局# ,北美战局,美国总统大选,北美战局,JBkuv2UW5,9,2,0,新浪军事,男,北京,916,23218050,无,科技 · 视频社区
https://weibo.cn/search/mblog?hideSearchFrame=&keyword=%E7%BE%8E%E5%9B%BD%E6%80%BB%E7%BB%9F%E5%A4%A7%E9%80%89&advancedfilter=1&starttime=2020-12-03-15&endtime=2021-01-01-16&sort=time&page=1,2021-01-02 17:10 ,小创爱科技:#Facebook产品主管离职# 根据媒体获悉的一篇公司内部帖子显示，Facebook的广告诚信主管罗伯·莱森（Rob Leathern）已于本周离职。报道称，Leathern经常是Facebook有争议的政治广告政策的公众代言人。在11月3日美国总统大选前，Facebook曾因为允许平台上的误导性声明和阴谋论的广泛传播而备受批评。#Facebook产品主管离职# ,Facebook产品主管离职,美国总统大选,Facebook产品主管离职,JBkshCr1F,1,0,0,小创爱科技,男,浙江,268,1313796,无,红米Note7 4800万相机
